@id,@type,name,@lat,@lon,railway,station,highway,amenity,public_transport
600807132,node,Visakhapatnam,17.7214305,83.2906223,station,,,,station
1054294098,node,Simhachalam North,17.7518491,83.2096998,station,,,,station
1054294397,node,Old Post Office,17.6936318,83.2923058,,,,bus_station,station
1054408140,node,Duvvada,17.7035979,83.1513762,station,,,,
1465008132,node,Visakhapatnam Railway Station,17.7228599,83.2908589,,,bus_stop,,platform
1474041919,node,Jagadamba,17.7121701,83.3024586,,,bus_stop,,platform
1811267986,node,GVMC,17.7223754,83.3076067,,,bus_stop,,platform
1811347313,node,Dwaraka bus stand city bus stop,17.7229823,83.3071441,,,bus_stop,,
1815811154,node,Siripuram Junction,17.7236550,83.3178511,,,bus_stop,,
1815835992,node,Siripuram (towards Pedda Waltair),17.7246574,83.3197938,,,bus_stop,,
1824367441,node,,17.7438201,83.3352417,,,bus_stop,,
1824367450,node,,17.7427301,83.3395959,,,bus_stop,,platform
1824367474,node,,17.7438644,83.3355052,,,bus_stop,,
1824367485,node,MVP,17.7425521,83.3387699,,,bus_stop,,platform
1824367513,node,MVP,17.7430460,83.3384978,,,bus_stop,,platform
2332910442,node,Seethammadhara,17.7435478,83.3156935,,,bus_stop,,platform
2332910445,node,Seethammadhara,17.7433179,83.3144918,,,bus_stop,,
2367108955,node,Simhachalam,17.7453138,83.2207916,station,,,,station
2523216570,node,Pendurthi,17.8142250,83.1956798,station,,,,station
2900563445,node,N.G.G.O's Colony Bus Stop,17.7454474,83.2711426,,,bus_stop,,
2900563446,node,Murali Nagar,17.7467963,83.2643781,,,bus_stop,,
2900563447,node,Tenneti Nagar,17.7478028,83.2611701,,,bus_stop,,platform
2910967183,node,Marripalem,17.7364992,83.2525704,halt,,,,
2965492164,node,Gopalapatnam,17.7410814,83.2318137,station,,,,station
3913956293,node,Pedda Waltair,17.7306450,83.3356410,,,bus_stop,,platform
3921525381,node,,17.7336080,83.2881297,,,bus_stop,,platform
3921525801,node,,17.7336653,83.2878218,,,bus_stop,,
3929866660,node,,17.7207619,83.3034116,,,bus_stop,,platform
3929870658,node,,17.7290046,83.3066665,,,bus_stop,,platform
3929887905,node,,17.7309583,83.3376268,,,bus_stop,,
3969897577,node,,17.7266827,83.3239406,,,bus_stop,,
3969897597,node,Andhra University,17.7263501,83.3237474,,,bus_stop,,platform
3983367889,node,South Campus,17.7215123,83.3258714,,,bus_stop,,platform
4031710987,node,Lumbini Park,17.7418203,83.3434170,,,bus_stop,,platform
4049792839,node,Chinna Waltair,17.7231727,83.3314574,,,bus_stop,,platform
4049792840,node,Chinna Waltair,17.7232646,83.3327314,,,bus_stop,,platform
4049796505,node,Out Gate Stop,17.7223398,83.3291091,,,bus_stop,,platform
4052917910,node,,17.7229682,83.3072582,,,bus_stop,,
4052917920,node,APSRTC Complex South City Bus Stop,17.7232722,83.3073839,,,bus_stop,,platform
4052917925,node,,17.7232932,83.3071251,,,bus_stop,,platform
4300560630,node,,17.7220386,83.3282250,,,bus_stop,,
