@id,@type,@lat,@lon,highway,crossing,traffic_calming,traffic_signals
245640873,node,17.4818456,78.5365375,traffic_signals,,,signal
289510346,node,17.4271038,78.4522925,traffic_signals,,,
289895020,node,17.4214218,78.4844195,traffic_signals,,,
289907074,node,17.4418278,78.4875311,traffic_signals,,,
289908642,node,17.4568019,78.4849664,traffic_signals,,,
306605263,node,17.3644949,78.5014095,traffic_signals,,,
307055835,node,17.3904688,78.5061073,traffic_signals,,,signal
307061321,node,17.3366430,78.5738675,traffic_signals,,,signal
308528048,node,17.3961553,78.4277828,traffic_signals,,,
308613838,node,17.4267588,78.5308959,traffic_signals,,,
308613843,node,17.4269024,78.5310795,traffic_signals,,,
308783133,node,17.4068172,78.4966982,traffic_signals,traffic_signals,,
308783170,node,17.4006472,78.4880622,traffic_signals,,,
308783191,node,17.3982804,78.4933200,traffic_signals,,,
308795901,node,17.4092420,78.4895685,traffic_signals,traffic_signals,,
308795980,node,17.4330571,78.5063606,traffic_signals,,,signal
308796014,node,17.4404235,78.4953315,traffic_signals,,,
308933180,node,17.4735671,78.5708213,traffic_signals,,,
308960178,node,17.4432500,78.4985461,traffic_signals,,,
332444631,node,17.4366988,78.4441072,traffic_signals,,,
351876787,node,17.4447123,78.3591341,,,bump,
355647231,node,17.4426022,78.4485990,,,island,
364672163,node,17.4285456,78.4878246,traffic_signals,,,
671153303,node,17.4033171,78.4527710,traffic_signals,,,signal
682850555,node,17.4109699,78.4846246,traffic_signals,traffic_signals,,
701208131,node,17.4384782,78.3634615,traffic_signals,,,
701228140,node,17.4383814,78.3638892,traffic_signals,,,
701248984,node,17.4185475,78.3434050,traffic_signals,,,signal
817353935,node,17.4230489,78.4265496,traffic_signals,,,signal
1042219300,node,17.4574152,78.3736657,traffic_signals,,,
1302011992,node,17.4421283,78.3717935,traffic_signals,,,traffic_lights
1310963249,node,17.4516709,78.3814430,traffic_signals,,,
1311044366,node,17.4269039,78.3356052,traffic_signals,,,signal
1312749854,node,17.4333385,78.4259266,crossing,yes,,
1324659264,node,17.3378408,78.5698690,traffic_signals,,,signal
1344080569,node,17.4967162,78.3615095,traffic_signals,,,signal
1427645997,node,17.4979795,78.3920515,,,rumble_strip,
1580588288,node,17.4458144,78.3509654,,,bump,
1594515938,node,17.3718667,78.5676565,mini_roundabout,,,
1655557996,node,17.4945665,78.3889729,mini_roundabout,,,
1692848738,node,17.4454907,78.3523158,traffic_signals,,,
1700616740,node,17.4188131,78.3577898,traffic_signals,,,signal
1700616746,node,17.4190319,78.3552459,traffic_signals,,,signal
1700617401,node,17.4185153,78.3586655,traffic_signals,,,signal
1752932125,node,17.4365569,78.4439328,traffic_signals,,,
1752932126,node,17.4424596,78.4411194,traffic_signals,,,
1762335427,node,17.4136082,78.4601077,traffic_signals,,,
1762349856,node,17.4133138,78.4603277,traffic_signals,,,
1779485068,node,17.4432024,78.4876713,traffic_signals,,,
1779485069,node,17.4430776,78.4874232,traffic_signals,,,
1779488041,node,17.4433337,78.4957323,traffic_signals,,,
1779488045,node,17.4429949,78.4958541,traffic_signals,,,
1779495929,node,17.4428980,78.4986863,traffic_signals,,,
1779502570,node,17.4426448,78.5059210,traffic_signals,,,
1779503704,node,17.4408540,78.5053176,traffic_signals,,,
1779544554,node,17.4346149,78.5122212,traffic_signals,,,
1779552093,node,17.4361388,78.5187284,traffic_signals,,,
1779552095,node,17.4362071,78.5188455,traffic_signals,,,
1779592744,node,17.4190472,78.5415759,traffic_signals,,,
1813453230,node,17.3615623,78.4912292,traffic_signals,,,
1883413885,node,17.4271079,78.4395069,traffic_signals,,,signal
1883413896,node,17.4273439,78.4396733,traffic_signals,,,signal
1947502723,node,17.4936930,78.5125829,traffic_signals,,,
1947738024,node,17.4435205,78.4875155,traffic_signals,,,
1948596012,node,17.4270622,78.4397479,traffic_signals,,,junction
2177264397,node,17.4139652,78.3942465,traffic_signals,,,
2177264461,node,17.3957605,78.4311327,traffic_signals,,,
2195239132,node,17.4133646,78.4598802,traffic_signals,,,
2212440900,node,17.4255929,78.3403138,traffic_signals,,,signal
2233905584,node,17.4388407,78.3639936,traffic_signals,,,
2233905588,node,17.4389464,78.3636234,traffic_signals,,,
2241238497,node,17.4346045,78.5125669,traffic_signals,,,
2246072932,node,17.4294078,78.3401097,,,island,
2249699280,node,17.3290241,78.5542815,traffic_signals,,,signal
2249915001,node,17.4739589,78.4245563,,unmarked,,
2257794896,node,17.4434040,78.4872854,traffic_signals,,,
2259747052,node,17.4458638,78.3513643,,,bump,
2259747060,node,17.4459275,78.3512946,,,bump,
2259747063,node,17.4458178,78.3508098,,,bump,
2400182812,node,17.4419016,78.4457119,traffic_signals,,,
2403853099,node,17.4414905,78.4483561,traffic_signals,,,
2425535887,node,17.4962579,78.3951256,crossing,uncontrolled,,
2461499292,node,17.3915440,78.4197357,mini_roundabout,,,
2478095316,node,17.3217127,78.4314917,traffic_signals,,,
2478095323,node,17.3219919,78.4317890,traffic_signals,,,
2582234636,node,17.4580596,78.3706665,traffic_signals,,,
2590027226,node,17.4265743,78.4524898,traffic_signals,,,
2590027230,node,17.4268290,78.4525931,traffic_signals,,,
2590027233,node,17.4268849,78.4523062,traffic_signals,,,
2591322683,node,17.4012427,78.5603589,crossing,marked,,
2591794820,node,17.3762910,78.5580380,traffic_signals,,,
2591794829,node,17.3763495,78.5577059,traffic_signals,,,
2591794831,node,17.3763611,78.5580309,traffic_signals,,,
2697143957,node,17.4841215,78.5491289,traffic_signals,,,
2697143964,node,17.4840921,78.5489900,traffic_signals,,,
2697144011,node,17.4817934,78.5365647,traffic_signals,,,signal
2789776048,node,17.4823085,78.4796396,crossing,uncontrolled,,
2817731874,node,17.4267067,78.3358220,traffic_signals,,,signal
2857520122,node,17.3848721,78.4877308,traffic_signals,,,signal
3098505687,node,17.4082074,78.4731632,traffic_signals,,,
3100002631,node,17.4011990,78.4755545,traffic_signals,,,
3146872997,node,17.4250201,78.4336107,traffic_signals,,,signal
3146872998,node,17.4250412,78.4333102,traffic_signals,,,signal
3146873008,node,17.4266884,78.4156775,traffic_signals,,,
3147096431,node,17.4404028,78.4954260,traffic_signals,,,
3148642284,node,17.4568477,78.4850598,traffic_signals,,,
3153692871,node,17.5413026,78.4338315,traffic_signals,,,
3154080390,node,17.4418907,78.4875195,traffic_signals,,,
3155747482,node,17.3850884,78.4874343,traffic_signals,,,signal
3157570037,node,17.3266868,78.4761025,traffic_signals,,,
3158868847,node,17.3143177,78.4441581,traffic_signals,,,signal
3158888596,node,17.4079293,78.4730317,traffic_signals,,,
3158888597,node,17.4079581,78.4731529,traffic_signals,,,
3158978741,node,17.3975589,78.4835613,traffic_signals,,,
3158978742,node,17.3974941,78.4834809,traffic_signals,,,
3158978743,node,17.3978118,78.4829960,traffic_signals,,,
3159005261,node,17.3985895,78.4936834,traffic_signals,,,
3164250083,node,17.4952346,78.3170117,traffic_signals,,,
3164269170,node,17.4966512,78.3618801,traffic_signals,,,signal
3164291754,node,17.4444521,78.4326012,traffic_signals,,,
3164348352,node,17.4771108,78.5635700,traffic_signals,,,
3166108201,node,17.4408971,78.5055229,traffic_signals,,,
3166227196,node,17.4542634,78.4224979,traffic_signals,,,
3166227197,node,17.4542871,78.4226219,traffic_signals,,,
3167945583,node,17.4230544,78.4113504,traffic_signals,,,
3167945584,node,17.4229095,78.4113703,traffic_signals,,,
3167945963,node,17.4265550,78.4155514,traffic_signals,,,
3168087497,node,17.3024079,78.4198673,traffic_signals,,,
3169858322,node,17.3291244,78.5543424,traffic_signals,,,signal
3178328693,node,17.4265779,78.4153645,traffic_signals,,,
3178328694,node,17.4266799,78.4154432,traffic_signals,,,
3180189263,node,17.4012424,78.4755749,traffic_signals,,,
3180189264,node,17.4011246,78.4755186,traffic_signals,,,
3180189266,node,17.4011634,78.4756895,traffic_signals,,,
3180193628,node,17.3984212,78.4934698,traffic_signals,,,
3191024317,node,17.3875255,78.4297160,traffic_signals,,,
3191035769,node,17.3878997,78.4295987,traffic_signals,,,
3191273363,node,17.4329799,78.4883895,traffic_signals,,,
3195069213,node,17.4192828,78.4126138,traffic_signals,,,
3195143524,node,17.4424280,78.4413270,traffic_signals,,,
3195149162,node,17.4423639,78.4411739,traffic_signals,,,
3195196217,node,17.4444141,78.4325202,traffic_signals,,,
3195196244,node,17.4444841,78.4325263,traffic_signals,,,
3202531115,node,17.4198128,78.4480277,crossing,unmarked,,
3202801374,node,17.4351777,78.4554540,traffic_signals,,,
3202801375,node,17.4351422,78.4556014,traffic_signals,,,
3204089052,node,17.4366522,78.4438713,traffic_signals,,,
3204264648,node,17.3870140,78.4725124,traffic_signals,,,
3205654235,node,17.4406788,78.5053562,traffic_signals,,,
3207187875,node,17.4407169,78.5055751,traffic_signals,,,
3207327888,node,17.3361008,78.5795304,traffic_signals,,,signal
3208546295,node,17.4427142,78.4411360,traffic_signals,,,
3208546296,node,17.4425302,78.4412545,traffic_signals,,,
3216931270,node,17.4190195,78.4125840,traffic_signals,,,
3218358874,node,17.4443754,78.4325918,traffic_signals,,,
3218416041,node,17.3686992,78.4760695,traffic_signals,,,
3224357972,node,17.4010903,78.4756515,traffic_signals,,,
3224370213,node,17.3522653,78.5066325,traffic_signals,,,
3224370215,node,17.3522160,78.5067664,traffic_signals,,,
3224407314,node,17.4141209,78.3944333,traffic_signals,,,
3372041211,node,17.4186026,78.3434401,traffic_signals,,,signal
3372041270,node,17.4216707,78.3380756,traffic_signals,,,signal
3381803959,node,17.4020013,78.5600250,traffic_signals,,,
3381806324,node,17.4051017,78.5561751,traffic_signals,,,
3381806325,node,17.4053355,78.5561806,traffic_signals,,,
3381806326,node,17.4053694,78.5562874,traffic_signals,,,
3531319885,node,17.4456876,78.4962671,traffic_signals,,,
3531319886,node,17.4457261,78.4960638,traffic_signals,,,
3531319887,node,17.4459963,78.4960240,traffic_signals,,,
3531319888,node,17.4460191,78.4963152,traffic_signals,,,
3531319889,node,17.4460265,78.4962360,traffic_signals,,,
3598305826,node,17.4251579,78.5565471,crossing,unmarked,,
3663143094,node,17.3959805,78.4312070,traffic_signals,,,
3670021761,node,17.4269910,78.3338474,traffic_signals,,,signal
3678481778,node,17.4012660,78.5600940,crossing,traffic_signals,,
3790371478,node,17.3217131,78.4323867,traffic_signals,,,
3806982393,node,17.4011723,78.5601110,traffic_signals,,,
3806982396,node,17.4012350,78.5604536,crossing,traffic_signals,,
3806982405,node,17.4013373,78.5606435,traffic_signals,,,
3806982412,node,17.4015945,78.5596658,traffic_signals,,,
3806982425,node,17.4019560,78.5600778,crossing,zebra,,
3817631808,node,17.4801189,78.3111222,traffic_signals,,,
3835259408,node,17.3729899,78.4058074,crossing,unmarked,,
3835259424,node,17.3730203,78.4056568,crossing,unmarked,,
3835259432,node,17.3730581,78.4055487,crossing,unmarked,,
3835259438,node,17.3730834,78.4053680,crossing,unmarked,,
3835259439,node,17.3730850,78.4057136,crossing,unmarked,,
3835259456,node,17.3731643,78.4058179,crossing,unmarked,,
3894159568,node,17.3641570,78.5014846,traffic_signals,,,
3977712901,node,17.3890790,78.4707921,crossing,marked,,
4009677298,node,17.5368388,78.2446252,mini_roundabout,,,
4021013956,node,17.4703643,78.5357112,crossing,zebra,,
4311354565,node,17.4186044,78.4483729,crossing,unmarked,,
4311354567,node,17.4200222,78.4481241,crossing,unmarked,,
4312194294,node,17.3218087,78.4322159,traffic_signals,,,
4313223610,node,17.3266773,78.4767476,traffic_signals,,,
4313223630,node,17.3268773,78.4761357,traffic_signals,,,
4314329429,node,17.4434950,78.4871623,traffic_signals,,,
4315742797,node,17.4287381,78.4554904,traffic_signals,,,
4315742808,node,17.4290964,78.4556097,traffic_signals,,,
4317346500,node,17.4427719,78.4983945,traffic_signals,,,
4317346501,node,17.4430927,78.4982760,traffic_signals,,,
4317346502,node,17.4433599,78.4986247,traffic_signals,,,
4322167205,node,17.4190306,78.3581131,traffic_signals,,,signal
4322167214,node,17.4192251,78.3555758,traffic_signals,,,signal
4328527380,node,17.4950743,78.3168335,traffic_signals,,,
4328527382,node,17.4950889,78.3173102,traffic_signals,,,
4330817111,node,17.4256716,78.3405708,crossing,uncontrolled,,
4331878160,node,17.4511871,78.3812207,traffic_signals,,,
4331878163,node,17.4512781,78.3812743,traffic_signals,,,
4331878172,node,17.4514640,78.3808155,traffic_signals,,,
4331878177,node,17.4515101,78.3806926,traffic_signals,,,
4331878184,node,17.4515848,78.3814959,traffic_signals,,,
4331884701,node,17.4519128,78.3808271,traffic_signals,,,
4331884704,node,17.4519650,78.3810177,traffic_signals,,,
4333720086,node,17.3903259,78.5061511,traffic_signals,,,signal
4333720092,node,17.3904133,78.5061263,traffic_signals,,,signal
4333720132,node,17.3913403,78.5108972,traffic_signals,,,
4333720153,node,17.3913543,78.5109803,traffic_signals,,,
4342672717,node,17.3752085,78.4804142,traffic_signals,,,
4342672720,node,17.3752427,78.4803490,traffic_signals,,,
5153212542,node,17.4200869,78.3999523,,,bump,
5153212543,node,17.4202414,78.3999363,,,bump,
5153212544,node,17.4201690,78.4001288,,,bump,
5153212545,node,17.4189299,78.4000431,,,bump,
5153212546,node,17.4188234,78.4004758,,,bump,
5153212547,node,17.4187736,78.4007068,,,bump,
5153212548,node,17.4209108,78.3998594,,,bump,
5153212549,node,17.4211039,78.3998419,,,bump,
5153212551,node,17.4180012,78.3982867,,,bump,
5153212552,node,17.4184168,78.4007231,,,rumble_strip,
5153212556,node,17.4159603,78.3943766,,,bump,
5153212557,node,17.4159792,78.3943303,,,bump,
5153212558,node,17.4567616,78.3397946,,,rumble_strip,
5153212559,node,17.4569408,78.3397494,,,rumble_strip,
5153212560,node,17.4616518,78.3358216,,,rumble_strip,
5153212561,node,17.4619207,78.3356824,,,rumble_strip,
5156482772,node,17.4184694,78.4009643,,,rumble_strip,
5156482774,node,17.4615739,78.3359073,,,rumble_strip,
5156482775,node,17.4895453,78.3277395,,,bump,
5156482776,node,17.4894958,78.3278381,,,bump,
5156482777,node,17.4894326,78.3277385,,,bump,
5156482778,node,17.4894995,78.3305586,,,bump,
5156482779,node,17.4894879,78.3315040,,,bump,
5156482780,node,17.4895317,78.3315613,,,bump,
5156482781,node,17.4894284,78.3315614,,,bump,
5156482782,node,17.4877090,78.3259076,,,bump,
5156482783,node,17.4876614,78.3253004,,,bump,
5174318603,node,17.4193561,78.4063405,,,bump,
5183183913,node,17.4965695,78.3629282,,,rumble_strip,
5189959322,node,17.4443231,78.3588979,,,bump,
5234757609,node,17.4192523,78.4063258,,,bump,
5234757610,node,17.4192962,78.4061184,,,bump,
5273710054,node,17.4940856,78.3223594,,,bump,
5273710055,node,17.4942301,78.3223600,,,bump,
5486709296,node,17.4107653,78.4845280,traffic_signals,traffic_signals,,
